,loss
388,0.9657177925109863
389,0.950124979019165
390,0.9316174983978271
391,0.9361937046051025
392,0.9035643339157104
393,0.9159271121025085
394,0.8119405508041382
395,0.7976675629615784
396,0.9573138356208801
397,0.7342477440834045
398,0.7492091059684753
399,0.7509176135063171
400,0.7724249958992004
401,0.7310804724693298
402,0.6420758962631226
403,0.8803777098655701
404,0.6071721911430359
405,0.7893356680870056
406,0.7923702001571655
407,0.7919090986251831
408,0.8126804232597351
409,0.6863601803779602
410,0.6616293787956238
411,0.5466260313987732
412,0.5194299221038818
413,0.5329027771949768
414,0.4003649055957794
415,0.4002199172973633
416,0.4012366235256195
417,0.41972577571868896
418,0.4712293744087219
419,0.9070616960525513
420,1.073846697807312
421,0.9433179497718811
422,0.9802372455596924
423,0.7749845385551453
424,0.7640421986579895
425,0.7724819183349609
426,0.7800182104110718
427,0.8429617881774902
428,0.8753665685653687
429,0.8412095904350281
430,0.9849293231964111
431,0.951664388179779
432,0.8482123017311096
433,0.8448073863983154
434,0.9942262768745422
435,0.9647757411003113
436,0.9322282671928406
437,0.9499829411506653
438,0.6983317136764526
439,0.7442460060119629
440,0.8147234320640564
441,0.9450761675834656
442,0.9759236574172974
443,0.9906628727912903
444,0.9519487619400024
445,1.0819318294525146
446,0.79267817735672
447,0.7632923722267151
448,0.8226631283760071
449,0.8842639923095703
450,0.8416814208030701
451,0.8120520114898682
452,0.8321694135665894
453,0.8353762626647949
454,0.9712904691696167
455,0.9480164647102356
456,0.9873650074005127
457,0.9487416744232178
458,0.9328325390815735
459,0.7382015585899353
460,0.7537874579429626
461,0.7053712606430054
462,0.7867582440376282
463,0.7356702089309692
464,0.7480989694595337
465,1.2852351665496826
466,1.2326512336730957
467,1.0082274675369263
468,0.9091952443122864
469,0.9550382494926453
470,0.8269978165626526
471,0.8172873854637146
472,0.7887486815452576
473,0.7610849738121033
474,0.8198038339614868
475,0.9487069249153137
476,0.8085951209068298
477,0.7637456655502319
478,0.7670916318893433
479,0.7677125334739685
480,0.7478253245353699
481,0.7587386965751648
482,0.8669654130935669
483,0.9506209492683411
484,0.8968477845191956
485,0.9183333516120911
486,0.8760590553283691
487,1.0941025018692017
488,0.896668553352356
489,0.7779973149299622
490,0.7739708423614502
491,0.7587799429893494
492,0.7917492389678955
493,0.7822519540786743
494,0.771348237991333
495,0.8071103096008301
496,0.8672646880149841
497,0.808800458908081
498,0.8243982195854187
499,0.8616660237312317
500,0.8231729865074158
501,0.858832836151123
502,0.7507490515708923
503,0.742546021938324
504,0.697881281375885
505,0.6887524724006653
506,0.7577200531959534
507,0.7690290808677673
508,0.8240581154823303
509,0.8475119471549988
510,0.7126655578613281
511,0.7198383808135986
512,0.8408269882202148
513,0.7451524138450623
514,0.6624393463134766
515,0.9581055045127869
516,0.6521496176719666
517,0.6861990094184875
518,0.9129905700683594
519,0.6448502540588379
520,0.5623751878738403
521,0.6612126231193542
522,0.8174090385437012
523,0.8099979162216187
524,0.7992797493934631
525,0.5433573126792908
526,0.5463858842849731
527,0.4537675678730011
528,0.4326102137565613
529,0.4141557216644287
530,0.36622652411460876
531,0.3668253719806671
532,0.37129873037338257
533,0.5151501297950745
534,0.6640635132789612
535,0.46870750188827515
536,0.4844306707382202
537,0.525841474533081
538,0.4840424358844757
539,0.3796856105327606
540,0.49131572246551514
541,0.31169766187667847
542,0.45764094591140747
543,0.31788256764411926
544,0.594119131565094
545,0.51372891664505
546,0.9203723669052124
547,0.9640120267868042
548,0.977017343044281
549,0.8097059726715088
550,0.8741862177848816
551,0.8711735606193542
552,0.8705934882164001
553,0.8212345242500305
554,0.7687587141990662
555,0.7651092410087585
556,0.7852339148521423
557,0.7079792022705078
558,0.7139489650726318
559,0.6985640525817871
560,0.7196688055992126
561,0.7505438923835754
562,0.670568585395813
563,0.6701082587242126
564,0.7802261114120483
565,0.6148760914802551
566,0.6827736496925354
567,0.5920722484588623
568,0.6749183535575867
569,0.6162282228469849
570,0.6331349611282349
571,0.5865764617919922
572,0.7816570997238159
573,0.6274833083152771
574,0.6467239260673523
575,0.6039140820503235
576,0.6457376480102539
577,0.5585209131240845
578,0.513041615486145
579,0.6403418779373169
580,0.5389381647109985
581,0.5223286151885986
582,0.7235603332519531
583,0.6654588580131531
584,0.662225067615509
585,0.8796581029891968
586,0.7357723116874695
587,0.5893872380256653
588,0.6252398490905762
589,0.5348764061927795
590,0.6095726490020752
591,0.603449821472168
592,0.5792343020439148
593,0.615314781665802
594,0.6591096520423889
595,0.6619445085525513
596,0.7903926968574524
597,0.680878758430481
598,1.065839409828186
599,1.0928510427474976
600,1.1898515224456787
601,1.1834242343902588
602,1.0617562532424927
603,1.1324944496154785
604,1.2063801288604736
605,1.078985333442688
606,0.9634960293769836
607,1.009137749671936
608,0.9292857050895691
609,0.7670900225639343
610,0.6843571662902832
611,0.6479849219322205
612,0.6850106716156006
613,0.5159092545509338
614,0.5133434534072876
615,0.48266130685806274
